id,titulo,descr,cat
108623,acceso a servidores historicos norhis3 y norhis4 en PC Jesús Rivera,solicitando se habilite el acceso a servidores norshis3 (172.11.40.145) y norhis4 (172.11.40.8) desde la PC de Jesús Fernando Rivera Vázquez (10.74.4.74). se anexa solicitud formal de servicio. ,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
110857,ORDEN DE TRABAJO -  Depurar históricos de ABB,"Favor de depurar los archives de los históricos 1, 2 y 3",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
110911,Acceso a Históricos ABB desde PC de Francisco Morales ,"Buenas tardes Guillermo Solicitando de tu valioso apoyo para que la  IP 10.74.5.178 que pertenece a Francisco Morales tenga conectividad hacia los servidores históricos norhis1, 2 y 3Aprovecho este correo para marcar copia a Servicios TIC para que se genere ticket correspondiente  Saludos y de antemano muchas gracias ¿Has visto hombre solícito en su trabajo? Delante de los reyes estará; No estará delante de los de baja condición. Prov. 22:29""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
111215,PRUEBA DE DESEMPEÑO DE HISTORICO,Apoyo al Ing. Luis Sandoval con prueba de performance de histórico en consulta,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
113022,HISTORIZACION SP7 / HARPROD EN CALCULADO PARA DEMANDA NETA TOTAL NOROESTE,"Buenas Tardes Solicitamos su apoyo con la corrección del siguiente punto que no se encuentra historizando en SP7 (HARPROD) y al parecer afecta la demanda Neta Total calculada de la Gerencia. 04   HAE.LT-96010 FEH          MW.AV   Gracias. Saludos.""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
113045,historixzacion de puntos de NVJ IN-72050 Y IN-42035 EN SP7,historixzacion de puntos de NVJ IN-72050 Y IN-42035 EN SP7 ,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
113624,revisar conexion a historico 3 ABB en consola ,revisar conexión a histórico 3 ABB en consola de Ing. Julio Gallegos,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
4741,SOLICITUD DE ACCESO SIPCE,SE SOLICITA ACCESO DEL SISTEMA 10.70.111.103 PARA LA APLICACION SIPCE DE PRONOSTICOS.,ADTR > Consulta /Actualizacion de Informacion Historica (PI) > PIAPP - Clientes de Acceso a Informacion Historica (PI Processbook)
108481,Instalación programa   :  thin client (acceso a escritorio remoto) y WS500,"Buenos días,El motivo del presente es  solicitar la instalación de:-thin client (acceso a escritorio remoto) y WS500.  Agradeceré la atención.  Maria Fernanda López Chan.""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI) > PIAPP - Clientes de Acceso a Informacion Historica (PI Processbook)
110333,Revisión de Processbook en PC corporativa de DDA,Revisión de Processbook en PC corporativa del Departamento de Dia en Adelanto.,ADTR > Consulta /Actualizacion de Informacion Historica (PI) > PIAPP - Clientes de Acceso a Informacion Historica (PI Processbook)
23805,SOLICITUD DE ACCESO PARA CONSULTA DE INFORMACIÓN HISTÓRICA DE SCADA,"Buen día Solicitamos acceso al histórico de manera temporal para la PC adicional que se encuentra en el departamento de Estrategia Operativa.  Sin más por el momento, quedo al pendiente, Saludos!    ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
26691,SP7  -- Revisión de historización en fuentes redundantes y no en Mvmoment de la GCR Noroeste,"Favor de verificar y normalizar señales. Al terminar , informar a Karla Ortiz GRACIAS      De: Karla Maria Ortiz Becerril karla.ortiz@cenace.gob.mxEnviado: miércoles, 23 de febrero de 2022 01:10 p. m.Para: g-e-12000-usuarios_nor_dsi_confianza usuarios_nor_dsi_confianza@cenace.gob.mxCC: DSC GCN g-e-gcn-dsc@cenace.gob.mxAsunto: Revisión de historización en fuentes redundantes y no en Mvmoment de la GCR Noroeste Buenas Tardes Estimados  Solicitando de su apoyo para revisar el listado en el archivo adjunto; ya que no se están historizando las infos MvMoment  y  se están historizando las fuentes redundantes. No sé si por algún motivo se estén configurando de esta forma. Gracias Cualquier duda o aclaración quedamos pendientes.Saludos""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
35725,SOLICITUD PARA ACCESO A HISTÓRICO DE SP7,"Por medio del presente solicito acceder desde la PC con IP 10.74.2.50 al servidor histórico de SP7.Agradezco de antemano la atención. Saludos!  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
41084,Solicitud de acceso a HISTORICO SP7," Buenas tardesSolicito por instrucciones de Ing. Felipe Federico Valle, el acceso a HISTORICO SP7para la consulta y realización de tareas encomendadas. Gracias por la atención.  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
53755,instalación de aplicaciones de histórico de PI Sp7 en PC de Ing. Francisco Amador,instalación de aplicaciones de histórico de PI Sp7 en PC de Ing. Francisco Amador,ADTR SP7 > Historico
55613,[ORDEN DE TRABAJO] Apoyo en instalación de Software PC Luis Sandoval,"Buen día compañera...  Para solicitar de tu valioso apoyo para instalar las aplicaciones de acceso a histórico y realizar las configuraciones de las conexiones que ocupan. Te paso los datos de la maquina y los requerimientos de instalación: Usuario:          Luis Martín Sandoval CamposNEP:             30113IP:              10.74.5.11        HOSTNAME:      N-NOR32WMJ Requerimientos de software: ProcessBook (Ultima versión) Librerías PI para históricos Históricos de norhis1, norhis2, norhis3, norhis4, HARWAMS. Librerías PI AFThinclientCualquier duda o comentario, estamos a la orden.  Saludos!""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
55629,"Instalación de PI, Process Book y Thinclient","Buen día,  Favor de apoyar con la instalación de PI, Process Book y Thinclient para PC de Efrain López Ulloa (10.74.5.15) De antemano, graciasVianney Roman""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
59425,Instalación de módulo PB en PC Corporativa,Favor de realizar la instalación del módulo de macros del cliente ProcessBook en la pc corporativa del Ing. Julio Gallegos. Por requerimiento del Depto. de Aplicaciones.Gracias.,ADTR SP7 > Historico
61087,Servidor PI,"Buenos días. Para solicitar un servidor de histórico de PI para el Sistema de Evaluación de Regulación Primaria (SERP). Gracias  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
63503,APOYO CON HISTORICO APL-DCNOR,"Buenas Tardes Solicitamos su valioso apoyo con la creación de Puntos en el Histórico de APL-DCNOR Saludos. Gracias.  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
64955,Falla en conexión a PI Historico 3 desde el servidor 10.74.10.39,"  Solicito de su valioso apoyo para revisar una falla que se está presentando en el acceso a historico3 desde el servidor 10.74.10.39 el cual aloja un servicio web que consulta PI. Varias aplicaciones utilizan ese servicio para consultar de PI como lo es Hoja de Marcha.  En este momento Hoja de Marcha esta marcando error al querer tomar las lecturas. Error que presenta conexión a PI:  Saludos!""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
83777,ORDEN DE TRABAJO: Alarmas de disponibilidad de PMU en AF.,Configuración de alarmas de disponibilidad de PMU en AF.,ADTR SP7 > Historico
91777,Consulta información histórica Processbook,Se solicita apoyo para la consulta de información histórica en diagramas de Processbook para en año 2018.,ADTR SP7 > Historico
91833,ORDEN DE TRABAJO ||  Capacitación - Configuración de señales en servidor Histórico-AF   ||   VFRN,"Favor de capacitar a Ing. Vianney Román en la configuración de señales Operativas en el AF Servidor Histórico Gracias         ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR SP7 > Historico
